content,Sentiment
Very good and very easy,Positive
Good,Positive
Bet service,Neutral
Super,Positive
Nice,Positive
Very nice,Positive
Mendukung,Neutral
Bagus,Neutral
Good work this aap,Positive
Good,Positive
Could never sign up or register as visitors,Neutral
Its is best,Positive
Good,Positive
Very foos,Positive
Iixw a db,Neutral
Nice,Positive
rightrightrighte,Neutral
Amazing app but sum time not working good,Positive
Awesome,Positive
Godd,Neutral
So bad apps,Negative
Very good,Positive
Nice,Positive
Please Install,Neutral
Good,Positive
Very slow,Negative
Good,Positive
Nice app,Positive
Very good job,Positive
Good,Positive
Good apps,Positive
Good apps,Positive
good apps,Positive
No good,Negative
Not available,Negative
very bad build and poorly manged,Negative
Awesome,Positive
Good,Positive
Excellent,Positive
Good,Positive
Nice,Positive
Good,Positive
nice app,Positive
Wow,Positive
Good,Positive
Good,Positive
Ayaz Hussain Laghari,Neutral
Got it,Neutral
Not a good one always an issue of correction or not installing,Negative
Excellent,Positive
Good App Tawakkalna Service,Positive
Good,Positive
Assalamoalaikom wyarahmatollahi,Neutral
Good,Positive
Irfan Mehmood,Neutral
Good Apps,Positive
V good app,Positive
Good,Positive
Very good,Positive
Excellent thanks,Positive
Well app,Neutral
Good,Positive
Thanku so nice aap,Positive
Good,Positive
Excellent,Positive
Very nice very good this app,Positive
Good,Positive
Nice app,Positive
bad,Negative
Best app ever,Positive
No working app any time open problem,Neutral
Wow,Positive
Nice app,Positive
V good,Positive
Nice,Positive
So useful,Positive
This is a good work,Positive
Nice app,Positive
De,Neutral
Good,Positive
Good app,Positive
Good apps,Positive
Got it,Neutral
Nice,Positive
Bb,Neutral
GOOD app,Positive
So beautiful,Positive
Good service,Positive
Good,Positive
Good,Positive
Good app,Positive
Thanks to ksa,Positive
Good app,Positive
Supper,Neutral
Well service for all,Neutral
Good service,Positive
Good application,Positive
Ok,Positive
Some time not sport,Neutral
Best app ever,Positive
For safty exelent app,Neutral
Good,Positive
Good app,Positive
Nice app,Positive
Good,Positive
Good,Positive
Excellent To good Amezing,Positive
Good your information,Positive
Very nice app,Positive
Good,Positive
Good apps,Positive
Good,Positive
Good aap,Positive
good,Positive
Good ap,Positive
Nice,Positive
Nice Beautiful,Positive
Good apps,Positive
Nice apps,Positive
Nice appe,Positive
to nice,Positive
Nice,Positive
nice app,Positive
good,Positive
Nice to have,Positive
good,Positive
Very good,Positive
Good services,Positive
Nice app,Positive
Group,Neutral
Ok,Positive
Excellent work,Positive
Nice app,Positive
Good,Positive
Alhamdulillah,Neutral
Good,Positive
Good,Positive
Masha Allah,Neutral
nice,Positive
Not good,Negative
Good,Positive
good,Positive
nice,Positive
Perfect app,Positive
Good app,Positive
Excellent,Positive
Very good,Positive
Nice very good,Positive
Good app,Positive
Very bad experience,Negative
nice,Positive
Excellent,Positive
Mohammad sufolmiah,Neutral
Thawakkalnaape,Neutral
Good,Positive
Nice,Positive
Good service,Positive
Very very bad,Negative
Good,Positive
Great service,Positive
Good app,Positive
Good,Positive
Good,Positive
Good,Positive
I loved it,Positive
Good,Positive
Good,Positive
nice app,Positive
Good application for digital,Positive
Okk,Neutral
Very nice application,Positive
V nice app,Positive
Mashallah,Neutral
Good system,Positive
Average,Negative
wow,Positive
Very good service,Positive
Nice way for the personal information about the job in Saudi Arabia,Positive
Nice app,Positive
Goog,Neutral
Nic,Neutral
outstanding,Positive
Good,Positive
Good,Positive
Satisfied,Positive
Nice,Positive
Nic,Neutral
Good,Positive
Good,Positive
Good app,Positive
Good,Positive
Good,Positive
All,Neutral
Worst app,Negative
Good app tawakkalna,Positive
Nice,Positive
Nice nice nice,Positive
THIS APP To MUCH BETTER,Positive
Good,Positive
Thanks for tawakkalna,Positive
Nice app,Positive
Good Apps,Positive
Good,Positive
Very nice Apps,Positive
nice app,Positive
Just now world was free from Chinese dirty business why still now need this application in KSA PLZ FINISHED FROM MIDDLE EAST COUNTRIES THANKS,Positive
Good apps,Positive
Good app,Positive
Good luck,Positive
Good,Positive
Very well,Positive
Good app,Positive
Very good,Positive
Ok,Positive
Bekar app,Neutral
Nice,Positive
Good,Positive
Good,Positive
good,Positive
Really useful and helpful app,Positive
Nice,Positive
Good,Positive
Good,Positive
nice,Positive
Nc,Neutral
Zabardas,Neutral
Gd,Neutral
Found satisfactory,Neutral
Good,Positive
Amazing,Positive
Very nice,Positive
Excellent,Positive
Awesome,Positive
Google,Neutral
Sahajan,Neutral
Naice app,Neutral
Alihassan,Neutral
Nice,Positive
Very good,Positive
I like app,Neutral
allhamdulliah,Neutral
This apps is very useful and informative,Positive
good,Positive
Always Good Service,Positive
Good,Positive
Nice,Positive
Nice app,Positive
Thanks you,Positive
Good apps,Positive
Gy,Neutral
Good,Positive
Amazing,Positive
Very aggressive app ireally like this,Positive
Vary good,Positive
Philistine a win,Positive
philistine a win,Positive
Gd,Neutral
Good,Positive
Good morning,Positive
Good job,Positive
Good and better service app,Positive
Wow,Positive
Love,Positive
Nice app,Positive
Nice app,Positive
Good,Positive
Excellent,Positive
Nothing good and all information lie Nothing equal the real all lies,Positive
Not opening,Neutral
The subject is very useful so I want to this alltime Thanks,Positive
good,Positive
Excellent,Positive
Good,Positive
Excellent,Positive
Very good,Positive
Nice App,Positive
To his is apps is very good,Positive
Good,Positive
Worst app forever,Negative
Excellent,Positive
Need to work all over the world,Neutral
Wow,Positive
Good,Positive
Good,Positive
Nyc,Neutral
Good,Positive
Not responding so many times,Positive
Super app,Positive
Good for all think,Positive
Good,Positive
Nice,Positive
Excellent thnx alot,Positive
One of the worst app,Negative
This app keep crashing,Neutral
Nice,Positive
Good,Positive
Good,Positive
Very bad experience slow work hate it,Negative
Nice,Positive
Very bad exprience not slectin nationatlty,Negative
nice,Positive
Best service,Positive
Masha Allah,Neutral
Naic,Neutral
Very good,Positive
Good,Positive
Nice app it is very beautiful I love this app,Positive
Saishree,Neutral
Fantastic,Positive
Good,Positive
Good,Positive
Good app,Positive
Well app,Neutral
Good,Positive
Very useful,Positive
Good,Positive
Nice,Positive
My Tawakkalna app doesnt open,Neutral
Good,Positive
Very good,Positive
App crashing,Neutral
Kk,Neutral
Samsung,Neutral
Good,Positive
Good,Positive
Nice,Positive
Good apps,Positive
Good,Positive
This app is very good app,Positive
SAMARUSMAN,Neutral
Nine,Neutral
Nine,Neutral
Dsti,Neutral
Amazing warkking app,Positive
Nice app,Positive
Nice,Positive
Excellent,Positive
Good,Positive
Good,Positive
Very good app,Positive
Good app,Positive
good work,Positive
Nice apps,Positive
Excelence,Neutral
Life necessity,Neutral
This app is not open stop the family member and sponsor number,Neutral
Helpful application for this residential people,Neutral
Hsg,Neutral
Top one apps,Positive
Very nice,Positive
Nice,Positive
good,Positive
nice,Positive
Nice app,Positive
Nice app,Positive
Good,Positive
Nice,Positive
Amazing app,Positive
Good,Positive
Nice,Positive
Good,Positive
Nice,Positive
Good,Positive
No problems,Neutral
We cannot chose nationality in GCC section,Neutral
Very good,Positive
Working so good,Positive
good,Positive
Alot of benefits in this site,Neutral
Good,Positive
Good,Positive
What a great appppppppppp,Positive
Excellent,Positive
Bangladesh,Neutral
Good app,Positive
Bc,Neutral
Very nice,Positive
Good,Positive
Why not work,Neutral
Nice,Positive
Saishree,Neutral
Good,Positive
Naic,Neutral
Good,Positive
Amazing,Positive
The app does not open on my phone,Neutral
Shameem Ahamed Kishorganj,Neutral
Clear,Positive
Best,Positive
good,Positive
Very good app,Positive
Very bad services,Negative
Great app,Positive
V good app,Positive
Good,Positive
This is totally wrong,Negative
Best,Positive
Good app,Positive
Good,Positive
Sangat mbantu,Neutral
Fixed,Positive
good,Positive
Nice app,Positive
Good apps,Positive
Good,Positive
Nice,Positive
Good,Positive
Ok,Positive
Good app,Positive
Good,Positive
Good apps,Positive
Like this app,Neutral
Nice,Positive
Very bad allocation,Negative
Nine,Neutral
Good,Positive
Good,Positive
Nice App,Positive
Cleared,Neutral
Very nice,Positive
Nice,Positive
Nice app,Positive
Nice,Positive
Good app,Positive
Very nice,Positive
Very poor App,Negative
Good,Positive
Very poor app,Negative
App Problem,Neutral
Saishree,Neutral
Nice,Positive
Good,Positive
Good app,Positive
Good,Positive
Sakib,Neutral
Good,Positive
Good,Positive
Namber one,Neutral
number one,Neutral
Very good apps,Positive
Very good app easy to use,Positive
Nice,Positive
Good,Positive
Good Aps,Positive
My Iqama has been renewed but its still showing old Iqama expiry Reminder,Positive
Good,Positive
Good,Positive
Good,Positive
Good,Positive
Best,Positive
Ok so nice,Positive
Good app,Positive
Not open my mobile this app,Neutral
Good app,Positive
Not good for use,Negative
Good app,Positive
good,Positive
Good,Positive
Good,Positive
Good,Positive
Good,Positive
Good app options,Positive
When I come Saudi I register my app with my passport number I want to register now with my iqama can you hell me,Neutral
Kindly let us know how to validate OTP to make digital card an official ID,Positive
I am very happy get in the new apps this is quickly working everything getting the inside nice I love you Saudi Arabia,Positive
Good application,Positive
Nice app,Positive
Good app,Positive
Good App,Positive
Good,Positive
Good,Positive
Very Travol this app,Positive
Musuk,Neutral
Nice,Positive
I have some problem not open,Neutral
Done,Neutral
Bad,Negative
Nice,Positive
Best,Positive
App is not working,Neutral
Good,Positive
Very helpful,Positive
Bad app,Negative
No good,Negative
Good,Positive
Out of screen but why any problem i done know that happened,Neutral
Not open defficult to log in,Neutral
Excellent services,Positive
nice app,Positive
Sudden close,Neutral
Good,Positive
nice app,Positive
J tei,Neutral
Nyc,Neutral
I like to Saudi Arabia system,Neutral
Ok,Positive
It even does not open in my phone,Neutral
Excellent,Positive
Does not even open,Neutral
Good App,Positive
Very slow and laggy,Negative
Good,Positive
Slow Downloading problem and go Back,Negative
Goooood,Neutral
Buldhng Electriction,Neutral
Jk,Neutral
Ok,Positive
Like,Neutral
Shabir,Neutral
Ok,Positive
Not used full app i am so dissopoint this app,Positive
Wow,Positive
Good,Positive
Best,Positive
Very good,Positive
Excellent,Positive
good,Positive
nice,Positive
Very good,Positive
Good App,Positive
Super,Positive
Very salow and poer this ap,Positive
Good,Positive
Good app,Positive
Good,Positive
Half,Negative
Very happy,Positive
Poor,Negative
Good,Positive
Best,Positive
Very good,Positive
Excellent,Positive
Good apps,Positive
JK,Neutral
V good,Positive
Nice,Positive
Good,Positive
Dont show,Neutral
Good,Positive
Very Good,Positive
The app cannot open even after updating it,Neutral
Amazing app,Positive
Bad experience,Negative
Terrible,Negative
My tawakala is not warking plz help me,Neutral
Nice,Positive
Good to use,Positive
Good,Positive
Good,Positive
Very Good,Positive
Good,Positive
Nice,Positive
Ticket rkh lety ye harkat nakrti saudi government jink pas mobile na ho bnda dhaky khaye bs pesy kmany k tareky,Neutral
Good,Positive
Bad,Negative
Ss,Neutral
Good,Positive
good,Positive
Nice apps,Positive
Nice app,Positive
Good,Positive
Good working,Positive
Very useful application,Positive
Good,Positive
Nice,Positive
Nice,Positive
Amazing app,Positive
MR Sabbir Hossain,Neutral
H Fhcucn,Neutral
Good,Positive
Exceptional,Positive
Good,Positive
Good,Positive
Open,Neutral
Amazing app,Positive
good,Positive
Good,Positive
Good apps,Positive
Good helping application,Positive
Nice,Positive
Nice,Positive
good,Positive
Wow,Positive
No opan,Neutral
Good,Positive
Nice,Positive
Everything excellent,Positive
Nice,Positive
Md manik,Neutral
Good,Positive
App always stuck,Neutral
MdAlamin,Neutral
Pakistan,Neutral
Very slow and dizziness,Negative
No paly,Positive
nice,Positive
Very usefulness,Positive
Super,Positive
Good app,Positive
Good,Positive
Useful app,Positive
Very poor service,Negative
Good app,Positive
nice apps,Positive
problem,Neutral
good,Positive
Mashallah,Neutral
Gd,Neutral
Thanks good app,Positive
Rakib WOw,Positive
Good app,Positive
Not open,Neutral
Good app,Positive
My mobile not installation,Neutral
Awesome,Positive
Good,Positive
Poor service,Negative
Exilent app,Neutral
Best app,Positive
Nice app,Positive
Very good service,Positive
We can to find out all essential documents by this apps,Neutral
Very nice,Positive
today open this one,Neutral
Quality app,Neutral
Naic,Neutral
Every good,Positive
Muhammad khorsid Ali,Neutral
bad application,Negative
Nc,Neutral
Good,Positive
Very good aap,Positive
Very nice app,Positive
good,Positive
Why sperate apps,Neutral
New from now,Positive
Nice app,Positive
Good,Positive
Like you,Neutral
Gd,Neutral
Nice,Positive
Ma sha Allah very best app,Positive
Gd,Neutral
Very good app,Positive
Saidul,Neutral
Very good,Positive
Good,Positive
Excellent app,Positive
Nice,Positive
wow,Positive
Wise,Positive
Good,Positive
Well done,Neutral
Good,Positive
Mdmumtazalam,Neutral
Good,Positive
Ok,Positive
Very good,Positive
Always crashing,Neutral
Alhumdulillah gud work,Neutral
Nice,Positive
Fh,Neutral
My name is atiqullah,Neutral
Very good,Positive
Good,Positive
Why not work ur app always got error something went wrong please try latter,Negative
It takes more time to install while other apps are installing,Positive
Shanon and,Neutral
tnex,Neutral
Nice this,Positive
Great,Positive
Good,Positive
Very useful,Positive
Good,Positive
Good,Positive
Good,Positive
Ok,Positive
Nice,Positive
Excellent,Positive
good,Positive
Good,Positive
Nice application,Positive
Asm,Neutral
Good,Positive
Nice,Positive
Download,Neutral
Good,Positive
Good service,Positive
Nice app we can take a lot of help,Positive
Worst app app opening is bad take long time,Negative
Super Working,Positive
Nice,Positive
Gd,Neutral
Good,Positive
Logging out,Neutral
Always showing incorrect data,Neutral
Good,Positive
Nic,Neutral
Nice,Positive
Ok,Positive
Very very good,Positive
Useful,Positive
valo,Neutral
Good,Positive
Samiullah,Neutral
Wow,Positive
Good,Positive
Ok,Positive
Good,Positive
Bangladesh and said MD Hussain Ahmed and Sylhet,Neutral
Best App,Positive
Good,Positive
Nice app,Positive
Good app,Positive
Awesome,Positive
Nice,Positive
good apps,Positive
Nicely work,Positive
Supar,Neutral
this app is very good app,Positive
Nicely,Positive
Nice,Positive
Good,Positive
Good app,Positive
Nice,Positive
very good,Positive
GOOD,Positive
Good apps,Positive
Great,Positive
Thanks for new updates tawakkalna same process the old apps and easy to use,Positive
Way note lodaing,Neutral
I love To much,Positive
Good,Positive
buffer,Neutral
Nice this,Positive
very good,Positive
Good,Positive
Malik faizan,Neutral
Very good,Positive
Good,Positive
good app,Positive
Good,Positive
Nice app,Positive
Nice,Positive
Good,Positive
So easy and clear,Positive
Nice,Positive
Nice,Positive
Great app,Positive
Good,Positive
Good,Positive
Good,Positive
Awasome app,Neutral
Unable to view digital cards,Negative
Nice,Positive
Op,Neutral
Good,Positive
Nice,Positive
Residence ID number problem,Neutral
Ok,Positive
SHAFIULLAHqaik,Neutral
Improve,Neutral
Thenkx,Neutral
good,Positive
Good,Positive
Good I like,Positive
Uauausge,Neutral
good,Positive
Good,Positive
not support,Neutral
Nice,Positive
nice,Positive
Nic app,Neutral
good,Positive
Www all look v,Neutral
Yes i am,Neutral
Ok,Positive
nice app,Positive
Awesome,Positive
Nq,Neutral
Guahd,Neutral
Fine,Positive
nice,Positive
Supper,Neutral
Nice App,Positive
Good,Positive
Naic,Neutral
ok,Positive
For Saudi Arabia app,Neutral
Awesome,Positive
Better,Positive
Not working crashes as soon as I open it,Neutral
Good,Positive
Not sport what problem,Neutral
Nice,Positive
Nice apps,Positive
Very nice app,Positive
nice this,Positive
Good service,Positive
Always crashed when I open this app,Neutral
Nice aps,Positive
Good app,Positive
Very good,Positive
Best,Positive
Excellent,Positive
Very good,Positive
Bad apss,Negative
Tawaklna service not open in my mobile,Neutral
Love this App,Positive
Good,Positive
Nice,Positive
Good,Positive
Good marning sar g,Positive
Very good app,Positive
Good,Positive
Good,Positive
In my device this app is not open,Neutral
Good,Positive
Good,Positive
Gud,Neutral
Nice,Positive
My favorite Health app,Positive
Great,Positive
Good,Positive
Jeddah,Neutral
Niceee,Neutral
This good app,Positive
Ok,Positive
Very nice,Positive
Very bad,Negative
Pathetic,Negative
MD ASLAM Bihar India and ok Ok,Positive
Good,Positive
Excellent,Positive
Worst application always crushed crushed problem problem,Negative
not working,Neutral
Excellent tool and services,Positive
Good,Positive
Very helpful,Positive
Nice app,Positive
open app,Neutral
Tewkana Rh,Neutral
THE GOOD JOB,Positive
Very good,Positive
Nice,Positive
Good,Positive
Not working in my device please help,Neutral
Lovely app,Positive
I just loved it,Positive
Very useful,Positive
Thinks,Neutral
MASA Allah super,Positive
Nice,Positive
Okay,Positive
nice app computer jaane ke liye,Positive
Very well,Positive
XD to do to,Neutral
Helo sir me mobile not entire,Neutral
Naice,Neutral
Good apps,Positive
Good,Positive
Very good,Positive
App version problem,Neutral
Very very Nice,Positive
Very good,Positive
Ok,Positive
Good,Positive
Nice this,Positive
WOW C,Positive
Nice,Positive
Good,Positive
Nc,Neutral
Exclent,Neutral
Good,Positive
Nice,Positive
Good,Positive
Nice,Positive
Saishree,Neutral
GOOD,Positive
Sss,Neutral
Good,Positive
good,Positive
Good,Positive
Good Apps,Positive
Driver,Neutral
So nice and I hope very helpful app,Positive
Good,Positive
Awesome,Positive
Excellent app,Positive
Nice,Positive
usefull application with more services,Positive
Awesome,Positive
Ok,Positive
Awesome,Positive
The original one,Positive
I Have not open THIS app can Anyone please Help,Neutral
Nice,Positive
